backtest,total_trades,average_win,average_loss,average_annual_return,drawdown,expectancy,net_profit,sharpe_ratio,loss_rate,win_rate,profit_loss_ratio,trade_frequency,total_trades_2,average_win_2,average_loss_2,annual_return,net_profit_2,sharpe_ratio_2,loss_rate_2,win_rate_2,profit_loss_ratio_2,trade_frequency_2,compounding_annual_return,alpha,beta,annual_standard_deviation,annual_variance,information_ratio,tracking_error,treynor_ratio,total_fees,probabilistic_sharpe_ratio,estimated_strategy_capacity,lowest_capacity_asset,sortino_ratio,portfolio_turnover,total_orders,start_equity,end_equity
embedded_backtest_d0e25eb3c8c4bda10b22f846ff86571f.html,,,,,59.4,0.031,,,,,,,1380,0.8,-4.54,,276.411,0.5,12,88,0.18,,9.159,0.095,0.31,0.228,0.052,0.2,0.26,0.367,,,,,,,,,
embedded_backtest_664e6ca02c5c9cdcb9b78a6e8a013484.html,,,,,9.2,0,,,,,,,0,0,0,,0,0.919,0,0,0,,12.999,0.087,0.006,0.096,0.009,-0.064,0.135,15.199,,,,,,,,,
embedded_backtest_bf90500e6125ea71e57097ae916f9c3c.html,,,,,30.9,0.442,,,,,,,65,3.81,-1.88,,61.395,0.468,52,48,2.02,,5.354,0.063,-0.023,0.13,0.017,-0.147,0.251,-2.679,,,,,,,,,
embedded_backtest_bf8281fa52ef43139a6cde3bab758f71.html,,,,,68,0,,,,,,,0,0,0,,0,-1.318,0,0,0,,-86.147,-1.117,-0.99,1.048,1.099,-1.541,1.07,1.396,,,,,,,,,
embedded_backtest_fabb7551c1f7864c11d2205925ebe180.html,,,,,18.1,0,,,,,,,1,67.96,0,,67.958,1.156,0,100,0,,26.969,0.066,0.979,0.229,0.052,0.306,0.2,0.27,,,,,,,,,
embedded_backtest_65b230ef3afa70e20f7a6c39802b73f4.html,,,,,75.7,0,,,,,,,1,92.24,0,,92.245,0.3,0,100,0,,4.393,0.103,0.068,0.359,0.129,0.112,0.406,1.586,,,,,,,,,
embedded_backtest_06ac172b9bf7945495cd95caaa053ffe.html,,,,,31.3,-0.168,,,,,,,239,1.16,-0.7,,-26.034,-2.497,69,31,1.65,,-69.666,-0.857,0.806,0.424,0.18,-2.463,0.328,-1.314,,,,,,,,,
embedded_backtest_2d96510fad42eb9e0225b63c11923706.html,,,,,0,3.653,,,,,,,3,0.06,0,,0.049,1.225,67,33,12.96,,0.191,0.001,0.001,0.001,0,-0.667,0.115,1.527,,,,,,,,,
embedded_backtest_07c8dfbf9c0be4fbf9223a4558fdd1ac.html,,,,,9.1,0,,,,,,,1,16.6,0,,16.603,1.162,0,100,0,,13.973,0.006,0.973,0.113,0.013,0.113,0.027,0.135,,,,,,,,,
embedded_backtest_4ea41486eb99c1d3dc66070a48fd9a0f.html,,,,,16.5,0.195,,,,,,,72,2.92,-1.41,,17.64,0.266,61,39,2.07,,2.05,0.02,0.122,0.093,0.009,-0.074,0.215,0.202,,,,,,,,,
