index,aadr,acp,cqqq,cweb,dpst,dxd,eex,eslt,hyi,icfi,iiiv,ilcv,immp,krp,mcrb,mpwr,newtl,ostk,snbr,su,tenx,tmv,uga,umc,vnla,www,xtl
2020-01-15T17:00:00Z,52.4077840692,6.79551908834387,57.72746259,339.4816988757,900.9612822,105.7887592075,10.673689736,151.60049325,11.40976083,90.66210144,31.03,111.68759760216,2.08,10.64726187486,3.15,172.261664603,20.932413574,8.85,47.09,28.83255045,25.4,26.39995254,31.414,2.1705083774,44.8122457484,31.173693135,68.92084884604
2020-01-15T18:00:00Z,52.351563546,6.79748267722259,57.647907086,337.76910858,901.715067,105.9056797795,10.638970485,151.56217401,11.438923158,90.847724277,30.81,111.3697951676,2.08,10.622244234,3.2623,173.175622749,20.932413574,8.64,47.39,28.8746172,25.6,26.30316078,31.32,2.1580487,44.815850482,31.182957234,68.98877922
2020-01-15T19:00:00Z,52.35536223,6.78772248544306,57.618073772,339.6479121453,899.2652664,105.52081623,10.624090806,151.70587116,11.427987285,90.935650884,31.105,111.58303219776,2.0141,10.608573392,3.27,172.87421102,20.97936854558,8.54,47.55,28.93351065,25.8,26.30316078,31.32,2.16212049,44.820356399,31.2153815805,68.98877922
2020-01-15T20:00:00Z,52.588031625,6.74550532455054,57.618073772,338.56060034,899.159736528,105.861834565,10.534812732,151.38015762,11.417051412,90.603483702,31,111.545980712,2.06,10.59490255,3.27,173.185345708,20.90019747,8.6,47.42,28.84937715,25.6,26.15797314,31.47,2.1580487,44.797826814,31.22001363,68.92854633884
2020-01-16T14:00:00Z,52.8966747,6.77438163159057,57.986017978,341.23188503,928.4744274,104.83877956,10.624090806,149.97192555,11.438923158,90.925881261,31,111.994800256,2.07,10.6256619445,3.27,175.013262,20.90019747,8.87,47.73,28.95033735,26,26.42415048,31.41,2.16212049,44.8140481152,31.794387768,69.335166396
2020-01-16T15:00:00Z,52.8996186801,6.77726926229457,57.787129218,337.581129287,929.872698204,104.6877571545,10.753048024,151.0233096975,11.424341994,90.7646824815,31.34,112.023448312,2.105,10.608573392,3.3241,174.410438542,20.90019747,8.84,47.96,28.79889705,25.9,26.39995254,31.41,2.16212049,44.8194552156,31.905556956,69.335166396
2020-01-16T16:00:00Z,52.90617141,6.76231133524784,57.757295904,338.6071004809,935.2584906,104.692628845,10.81256674,150.9807753411,11.431632576,90.701179932,31.225,112.15713924,2.11,10.629079655,3.33,174.060412018,20.90019747,8.65,48.12,28.79889705,26,26.54514018,31.41,2.1580487,44.83387415,31.822180065,69.941343954
2020-01-16T17:00:00Z,52.9231705209,6.75705584736655,57.74745091038,337.9501623201,939.0274146,104.74134575,10.81256674,151.2408671826,11.431632576,90.56440521,31.34,112.10862853184,2.14,10.608573392,3.35,173.992351305,20.956575652,8.73,48.37,28.6558701,25.874,26.54514018,31.41,2.14990512,44.829368233,32.0398863915,69.941343954
2020-01-16T18:00:00Z,52.8011377974,6.76121403558032,57.75739534838,338.26379093,938.8389684,104.595195035,10.822486526,150.7690615401,11.431632576,90.593714079,31.25,112.0893388408,2.12,10.6051556815,3.4,174.575728845,20.94054814026,8.64,48.35,28.59697665,26.1,26.5768394814,31.53,2.14990512,44.81422835188,31.970405649,70.114537542
2020-01-16T19:00:00Z,52.8654305241,6.76283110877456,57.82452030488,337.67017211,935.0700444,104.595195035,10.837366205,150.91074693,11.42929958976,90.359243127,31.37,111.545980712,2.12,10.59490255,3.54,174.361823747,20.93354113764,8.55,48.56,28.5380832,26,26.55723915,31.53,2.14990512,44.815850482,31.785123669,70.027940748
2020-01-16T20:00:00Z,52.88717799,6.77438163159057,57.906462474,338.95634622,940.7234304,104.010592175,10.76296781,150.79578921,11.402470248,90.515557095,31.4,112.11149333744,2.13,10.622244234,3.48,175.343842606,20.9404676,8.54,48.5,28.59697665,26,26.44834842,31.6713,2.14990512,44.80341415108,31.914821055,70.13253043142
2020-01-17T14:00:00Z,53.4253565457,6.80297351965174,57.93371023412,339.6617632511,951.061588932,103.59698565155,10.792727168,151.96452603,11.424341994,90.310395012,31.7514,112.233534056,2.17,10.59497090421,3.429,175.013262,20.9404676,8.84,48.23,28.432916325,26.064,27.3035036196,31.73,2.13768975,44.820356399,31.86850056,70.04718448
2020-01-17T15:00:00Z,53.2874643165,6.79188710599075,57.72746259,337.7740554035,954.480003,103.6452153875,10.624090806,151.2543747147,11.424341994,90.2078139705,31.4153,112.281280816,2.2,10.5778139975,3.35,175.178552303,20.972683704,8.52,48.58,28.24361595,25.6,27.31947426,31.73,2.13768975,44.815850482,31.794387768,70.04718448
2020-01-17T16:00:00Z,53.270845074,6.80939196966599,57.6777404,337.3733627,944.115462,103.8108528645,10.5968113945,150.24974004,11.4272582268,90.35054816253,31.37,112.2340115236,2.165,10.615408813,3.34,175.645254335,21.20004885798,8.62,48.5,28.239409275,25.8,27.17428662,31.245,2.13361796,44.842885984,31.701746778,70.04718448
