predictor,rn,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
adx_dip_66_close_ath,Annualized Return,0.4488,0.0681,0.0965,0.1379,0.0939,0.1704,0.0771,0.0713,0.1287,0.1123,0.2265,0.0475,0.0775,0.1182,0.1133,0.1594,0.076,0.0936,0.1174,0.1183,0.099,0.0895,0.0812,0.1121,0.1219
adx_dip_66_close_ath,Annualized Std Dev,1.072,0.2997,0.2225,0.1663,0.1223,0.4854,0.2892,0.2346,0.1758,0.1297,0.7578,0.2938,0.2332,0.1835,0.1379,0.7537,0.2703,0.2245,0.1854,0.137,0.3219,0.2613,0.2056,0.1673,0.1252
adx_dip_66_close_ath,Annualized Sharpe (Rf=0%),0.4187,0.2272,0.4337,0.8293,0.7678,0.351,0.2665,0.3038,0.7323,0.8656,0.2989,0.1616,0.3324,0.6443,0.8218,0.2115,0.2813,0.4171,0.6332,0.8635,0.3076,0.3425,0.3949,0.6699,0.9735
adx_dip_66_dochian_low_5,Annualized Return,0.222,0.1288,0.1353,0.1301,0.3075,0.1775,0.1139,0.0976,0.0571,0.1043,0.1275,0.1397,0.1414,0.0829,0.0738,0.1325,0.1233,0.1001,0.1111,0.119,0.1612,0.127,0.0853,0.0769,0.074
adx_dip_66_dochian_low_5,Annualized Std Dev,0.2611,0.2271,0.2579,0.3457,1.4172,0.2139,0.2011,0.2255,0.2622,0.4873,0.1856,0.1883,0.4928,0.2471,0.3427,0.1719,0.1762,0.1957,0.2428,0.4271,0.1518,0.1913,0.1811,0.1942,0.2792
adx_dip_66_dochian_low_5,Annualized Sharpe (Rf=0%),0.8502,0.5674,0.5245,0.3762,0.217,0.8299,0.5664,0.4325,0.2176,0.2141,0.687,0.7419,0.287,0.3354,0.2152,0.7709,0.6997,0.5115,0.4577,0.2786,1.062,0.6635,0.4708,0.396,0.2649
adx_dip_66_dochian_low_10,Annualized Return,0.185,0.1781,0.1168,0.2221,0.2344,0.1483,0.0904,0.0936,0.0843,0.1291,0.1156,0.1944,0.093,0.083,0.0858,0.1356,0.1118,0.1154,0.1054,0.1173,0.1534,0.1119,0.1067,0.0815,0.0669
adx_dip_66_dochian_low_10,Annualized Std Dev,0.2508,0.2919,0.2748,1.49,0.8098,0.2133,0.2007,0.2232,0.2868,0.5172,0.1802,0.4731,0.2108,0.2541,0.345,0.1628,0.1783,0.1946,0.2395,0.4338,0.1442,0.1754,0.1707,0.2016,0.2811
adx_dip_66_dochian_low_10,Annualized Sharpe (Rf=0%),0.7379,0.6099,0.4252,0.149,0.2894,0.6955,0.4503,0.4193,0.2938,0.2495,0.6415,0.4109,0.4412,0.3269,0.2487,0.8326,0.6269,0.5932,0.4402,0.2703,1.0639,0.6379,0.6252,0.4044,0.2379
adx_dip_66_rsi_264,Annualized Return,0.3726,0.1162,0.1236,0.0898,0.1228,0.1402,0.0913,0.0927,0.1218,0.1212,0.1966,0.0546,0.0816,0.1107,0.1164,0.0306,0.103,0.1092,0.1217,0.1244,0.0728,0.0439,0.051,0.0928,0.1493
